Layer,Disputed_Amount,Primary_Amount,Txn_Day,Txn_Month,Txn_Hour,Txn_DayOfWeek,Txn_IsWeekend,Is_Disputed,Dispute_Ratio,Is_Full_Dispute,Sheet_Money Transfer to,Sheet_Other,Sheet_Others Less Then 500,Sheet_Transaction put on hold,Sheet_Withdrawal through ATM,Action_By_Bank_Code,Is_HighValue,Is_DeepChain,Amount_Gap,Txn_IsNight,Is_HoldTxn,Is_MoneyTransfer,is_fraud
6,40.0,40.0,22,1,18,3,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,1
5,5395.0,5395.0,2,1,4,4,0,1,1.0,1,1,0,0,0,0,56,0,1,0.0,1,0,1,1
7,700.0,1818.0,8,1,16,3,0,1,0.385,0,1,0,0,0,0,68,0,1,1118.0,0,0,1,0
4,645.0,645.0,6,1,9,1,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,0
4,500.0,2007.0,2,1,14,4,0,1,0.2491,0,1,0,0,0,0,9,0,1,1507.0,0,0,1,0
4,818.4,7.36,31,12,10,2,0,1,111.1957,0,0,0,0,1,0,1,0,1,0.0,0,1,0,0
5,550.0,550.0,5,1,19,0,0,1,1.0,1,1,0,0,0,0,63,0,1,0.0,0,0,1,1
5,499.35,499.35,27,12,23,5,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,1,0,1,1
4,94.04,500.0,27,12,19,5,1,1,0.1881,0,1,0,0,0,0,1,0,1,405.96,0,0,1,1
5,1000.0,3205.0,31,12,0,2,0,1,0.312,0,1,0,0,0,0,68,0,1,2205.0,1,0,1,0
4,818.4,222.34,26,1,10,0,0,1,3.6808,0,0,0,0,1,0,56,0,1,0.0,0,1,0,0
4,818.4,1420.0,6,3,11,4,0,1,0.5763,0,0,0,0,1,0,95,0,1,601.6,0,1,0,0
4,818.4,638.02,23,3,10,0,0,1,1.2827,0,0,0,0,1,0,16,0,1,0.0,0,1,0,0
4,818.4,286.16,2,1,14,4,0,1,2.8599,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
7,757.0,757.0,24,12,18,2,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
6,1740.0,1740.0,31,12,19,2,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
4,100.0,100.0,27,12,13,5,1,1,1.0,1,1,0,0,0,0,18,0,1,0.0,0,0,1,1
4,1000.0,1000.0,17,2,10,1,0,1,1.0,1,1,0,0,0,0,95,0,1,0.0,0,0,1,1
8,458.07,595.0,4,1,17,6,1,1,0.7699,0,1,0,0,0,0,101,0,1,136.93,0,0,1,1
4,1030.52,1143.0,5,1,10,0,0,1,0.9016,0,1,0,0,0,0,78,0,1,112.48000000000002,0,0,1,0
4,818.4,0.48,27,12,14,5,1,1,1278.75,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
7,1000.0,30000.0,2,2,11,0,0,1,0.0333,0,1,0,0,0,0,70,1,1,29000.0,0,0,1,1
4,818.4,4474.61,25,2,0,2,0,1,0.1829,0,0,0,0,1,0,70,0,1,3656.2099999999996,1,1,0,0
4,130.0,130.0,26,1,20,0,0,1,1.0,1,1,0,0,0,0,50,0,1,0.0,0,0,1,0
3,25000.0,25000.0,21,1,0,2,0,1,1.0,1,1,0,0,0,0,16,1,1,0.0,1,0,1,1
6,2000.0,2000.0,9,1,21,4,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
7,1000.0,30000.0,2,2,11,0,0,1,0.0333,0,1,0,0,0,0,70,1,1,29000.0,0,0,1,1
5,1000.0,1000.0,4,2,21,2,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
4,818.4,4050.0,8,3,17,6,1,1,0.2021,0,0,0,0,0,0,1,0,1,3231.6,0,0,0,1
6,197.7,999.9,4,1,10,6,1,1,0.1977,0,1,0,0,0,0,70,0,1,802.2,0,0,1,0
3,9270.0,9270.0,27,12,17,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
4,818.4,1000.0,9,3,0,0,0,1,0.8184,0,0,0,0,1,0,78,0,1,181.60000000000002,1,1,0,0
4,100.03,102.0,27,1,0,1,0,1,0.9807,0,1,0,0,0,0,75,0,1,1.9699999999999989,1,0,1,0
6,32.8,3500.0,21,1,2,2,0,1,0.0094,0,1,0,0,0,0,56,0,1,3467.2,1,0,1,0
4,818.4,237.62,24,2,18,1,0,1,3.4442,0,0,0,0,1,0,39,0,1,0.0,0,1,0,0
4,1000.0,3550.0,31,1,11,5,1,1,0.2817,0,0,0,0,0,1,56,0,1,2550.0,0,0,0,0
